IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2021,true,,,,,,,,,,,,,0.01,,,,,,0.01,,,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,TGO,Togo,Year,2021,true,,,,,,,,,,,,,0.024,,,,,,0.024,,,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,BDI,Burundi,Year,2021,true,,,,,,,,,,,,,0.079,,,,,,0.079,,,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2021,true,,,,,,,,,,,,,0.079,,,,,,0.079,,,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,TCD,Chad,Year,2021,true,,,,,,,,,,,,,0.083,,,,,,0.083,,,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,CMR,Cameroon,Year,2021,true,,,,,,,,,,,,,0.097,,,,,,0.097,,,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2021,true,,,,,,,,,,,,,0.13,,,,,,0.13,,,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2021,true,,,,,,,,,,,,,0.63,,,,,,0.63,,,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,ZMB,Zambia,Year,2021,true,,,,,,,,,,,,,0.71,,,,,,0.71,,,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,WPR,Western Pacific,Country,TON,Tonga,Year,2021,true,,,,,,,,,,,,,0.76,,,,,,0.76,,MOH Staff List; National Reporting Instrument (NRI)- 2021 Code reporting,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,NGA,Nigeria,Year,2021,true,,,,,,,,,,,,,0.81,,,,,,0.81,,,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,EUR,Europe,Country,GEO,Georgia,Year,2021,true,,,,,,,,,,,,,0.92,,,,,,0.92,,,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2021,true,,,,,,,,,,,,,1.01,,,,,,1.01,,,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2021,true,,,,,,,,,,,,,1.06,,,,,,1.06,,,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AMR,Americas,Country,PER,Peru,Year,2021,true,,,,,,,,,,,,,1.52,,,,,,1.52,,Value obtained from Professionally Active,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AMR,Americas,Country,COL,Colombia,Year,2021,true,,,,,,,,,,,,,1.69,,,,,,1.69,,,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2021,true,,,,,,,,,,,,,1.71,,,,,,1.71,,Value obtained from Licensed to Practice,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,EUR,Europe,Country,SVK,Slovakia,Year,2021,true,,,,,,,,,,,,,10.51,,,,,,10.51,,National Registry; National Reporting Instrument (NRI)- 2021 Code reporting,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AMR,Americas,Country,CAN,Canada,Year,2021,true,,,,,,,,,,,,,10.55,,,,,,10.55,,Value obtained from Practising,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AMR,Americas,Country,CRI,Costa Rica,Year,2021,true,,,,,,,,,,,,,11.73,,,,,,11.73,,Value obtained from Professionally Active,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,EUR,Europe,Country,LTU,Lithuania,Year,2021,true,,,,,,,,,,,,,12.21,,,,,,12.21,,"Includes licensed to practice pharmacists. Data Source: OECD Health Data, accessed on 2 August 2022",EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,EUR,Europe,Country,ITA,Italy,Year,2021,true,,,,,,,,,,,,,12.42,,,,,,12.42,,"Includes practising pharmacists. Data Source: OECD Health Data, accessed on 2 August 2022",EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,EUR,Europe,Country,CYP,Cyprus,Year,2021,true,,,,,,,,,,,,,13.3,,,,,,13.3,,National Reporting Instrument (NRI)- 2021 Code reporting,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2021,true,,,,,,,,,,,,,2.13,,,,,,2.13,,National Reporting Instrument (NRI)- 2021 Code reporting,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,EUR,Europe,Country,MNE,Montenegro,Year,2021,true,,,,,,,,,,,,,2.34,,,,,,2.34,,,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,EUR,Europe,Country,BEL,Belgium,Year,2021,true,,,,,,,,,,,,,20.27,,,,,,20.27,,"Includes pharmacists licensed to practice. Data Source: OECD Health Data, accessed September 2022.",EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,EUR,Europe,Country,MLT,Malta,Year,2021,true,,,,,,,,,,,,,25.48,,,,,,25.48,,Pharmacy Council register; National Reporting Instrument (NRI)- 2021 Code reporting,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2021,true,,,,,,,,,,,,,3.11,,,,,,3.11,,,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AMR,Americas,Country,BRA,Brazil,Year,2021,true,,,,,,,,,,,,,3.36,,,,,,3.36,,Fonte: Cadastro Nacional de Estabelecimentos de Sa-de (CNES) - Ministerio da Sa-de  CBOs utilizados: 2234 - Farmaceuticos,EN,2023-01-12T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,WPR,Western Pacific,Country,PHL,Philippines,Year,2021,true,,,,,,,,,,,,,4.7,,,,,,4.7,,"Data Source:  Professional Regulation Commission and Department of Health as of May 18, 2022",EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AMR,Americas,Country,SLV,El Salvador,Year,2021,true,,,,,,,,,,,,,5.37,,,,,,5.37,,,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AMR,Americas,Country,URY,Uruguay,Year,2021,true,,,,,,,,,,,,,5.42,,,,,,5.42,,,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AMR,Americas,Country,PRY,Paraguay,Year,2021,true,,,,,,,,,,,,,5.5,,,,,,5.5,,,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2021,true,,,,,,,,,,,,,6.08,,,,,,6.08,,Information entered by Teena K. using NRI 2021 data,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AMR,Americas,Country,CHL,Chile,Year,2021,true,,,,,,,,,,,,,6.3,,,,,,6.3,,"Includes licensed to practice pharmacists. Data Source: OECD Health Data, accessed on 2 August 2022",EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,WPR,Western Pacific,Country,NZL,New Zealand,Year,2021,true,,,,,,,,,,,,,7.21,,,,,,7.21,,"Includes practising pharmacists. Data Source: OECD Health Data, accessed on 2 August 2022",EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,EUR,Europe,Country,ISR,Israel,Year,2021,true,,,,,,,,,,,,,8.43,,,,,,8.43,,,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2021,true,,,,,,,,,,,,,8.58,,,,,,8.58,,,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,EUR,Europe,Country,LVA,Latvia,Year,2021,true,,,,,,,,,,,,,8.81,,,,,,8.81,,"Includes practising pharmacists. Data Source: OECD Health Data, accessed on 2 August 2022",EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,EUR,Europe,Country,NOR,Norway,Year,2021,true,,,,,,,,,,,,,9.14,,,,,,9.14,,"Includes practising pharmacists. Data Source: OECD Health Data, accessed on 2 August 2022",EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AMR,Americas,Country,CHL,Chile,Year,2021,true,,,,,,,,,,,,,12287,,,,,,12 287,,"Includes licensed to practice pharmacists. Data Source: OECD Health Data, accessed on 2 August 2022",EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,EUR,Europe,Country,MLT,Malta,Year,2021,true,,,,,,,,,,,,,1342,,,,,,1342,,Pharmacy Council register; National Reporting Instrument (NRI)- 2021 Code reporting,EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,ZMB,Zambia,Year,2021,true,,,,,,,,,,,,,1376,,,,,,1376,,,EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,TCD,Chad,Year,2021,true,,,,,,,,,,,,,142,,,,,,142,,,EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,EUR,Europe,Country,MNE,Montenegro,Year,2021,true,,,,,,,,,,,,,147,,,,,,147,,,EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,EUR,Europe,Country,LVA,Latvia,Year,2021,true,,,,,,,,,,,,,1651,,,,,,1651,,"Includes practising pharmacists. Data Source: OECD Health Data, accessed on 2 August 2022",EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,EUR,Europe,Country,CYP,Cyprus,Year,2021,true,,,,,,,,,,,,,1655,,,,,,1655,,National Reporting Instrument (NRI)- 2021 Code reporting,EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2021,true,,,,,,,,,,,,,17082,,,,,,17 082,,,EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,NGA,Nigeria,Year,2021,true,,,,,,,,,,,,,17331,,,,,,17 331,,,EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AMR,Americas,Country,URY,Uruguay,Year,2021,true,,,,,,,,,,,,,1858,,,,,,1858,,,EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2021,true,,,,,,,,,,,,,2,,,,,,2,,,EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,TGO,Togo,Year,2021,true,,,,,,,,,,,,,21,,,,,,21,,,EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,EUR,Europe,Country,BEL,Belgium,Year,2021,true,,,,,,,,,,,,,23535,,,,,,23 535,,"Includes pharmacists licensed to practice. Data Source: OECD Health Data, accessed September 2022.",EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2021,true,,,,,,,,,,,,,2314,,,,,,2314,,,EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,CMR,Cameroon,Year,2021,true,,,,,,,,,,,,,264,,,,,,264,,,EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2021,true,,,,,,,,,,,,,30840,,,,,,30 840,,,EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AMR,Americas,Country,SLV,El Salvador,Year,2021,true,,,,,,,,,,,,,3389,,,,,,3389,,,EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,EUR,Europe,Country,LTU,Lithuania,Year,2021,true,,,,,,,,,,,,,3402,,,,,,3402,,"Includes licensed to practice pharmacists. Data Source: OECD Health Data, accessed on 2 August 2022",EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,EUR,Europe,Country,GEO,Georgia,Year,2021,true,,,,,,,,,,,,,345,,,,,,345,,,EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AMR,Americas,Country,PRY,Paraguay,Year,2021,true,,,,,,,,,,,,,3689,,,,,,3689,,,EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,WPR,Western Pacific,Country,NZL,New Zealand,Year,2021,true,,,,,,,,,,,,,3698,,,,,,3698,,"Includes practising pharmacists. Data Source: OECD Health Data, accessed on 2 August 2022",EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AMR,Americas,Country,CAN,Canada,Year,2021,true,,,,,,,,,,,,,40234,,,,,,40 234,,Value obtained from Practising,EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2021,true,,,,,,,,,,,,,406,,,,,,406,,,EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2021,true,,,,,,,,,,,,,49,,,,,,49,,,EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,EUR,Europe,Country,NOR,Norway,Year,2021,true,,,,,,,,,,,,,4939,,,,,,4939,,"Includes practising pharmacists. Data Source: OECD Health Data, accessed on 2 August 2022",EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AMR,Americas,Country,PER,Peru,Year,2021,true,,,,,,,,,,,,,5121,,,,,,5121,,Value obtained from Professionally Active,EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2021,true,,,,,,,,,,,,,5144,,,,,,5144,,Value obtained from Licensed to Practice,EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,WPR,Western Pacific,Country,PHL,Philippines,Year,2021,true,,,,,,,,,,,,,53498,,,,,,53 498,,"Data Source:  Professional Regulation Commission and Department of Health as of May 18, 2022",EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,EUR,Europe,Country,SVK,Slovakia,Year,2021,true,,,,,,,,,,,,,5724,,,,,,5724,,National Registry; National Reporting Instrument (NRI)- 2021 Code reporting,EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AMR,Americas,Country,CRI,Costa Rica,Year,2021,true,,,,,,,,,,,,,6046,,,,,,6046,,Value obtained from Professionally Active,EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AMR,Americas,Country,BRA,Brazil,Year,2021,true,,,,,,,,,,,,,71941,,,,,,71 941,,Fonte: Cadastro Nacional de Estabelecimentos de Sa-de (CNES) - Ministerio da Sa-de  CBOs utilizados: 2234 - Farmaceuticos,EN,2023-01-12T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,EUR,Europe,Country,ITA,Italy,Year,2021,true,,,,,,,,,,,,,73593,,,,,,73 593,,"Includes practising pharmacists. Data Source: OECD Health Data, accessed on 2 August 2022",EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,EUR,Europe,Country,ISR,Israel,Year,2021,true,,,,,,,,,,,,,7500,,,,,,7500,,,EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2021,true,,,,,,,,,,,,,79,,,,,,79,,,EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,WPR,Western Pacific,Country,TON,Tonga,Year,2021,true,,,,,,,,,,,,,8,,,,,,8,,MOH Staff List; National Reporting Instrument (NRI)- 2021 Code reporting,EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2021,true,,,,,,,,,,,,,85020,,,,,,85 020,,,EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AMR,Americas,Country,COL,Colombia,Year,2021,true,,,,,,,,,,,,,8709,,,,,,8709,,,EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2021,true,,,,,,,,,,,,,928,,,,,,928,,Information entered by Teena K. using NRI 2021 data,EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2021,true,,,,,,,,,,,,,95,,,,,,95,,National Reporting Instrument (NRI)- 2021 Code reporting,EN,2023-01-11T22:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,BDI,Burundi,Year,2021,true,,,,,,,,,,,,,99,,,,,,99,,,EN,2023-01-11T22:00:00.000Z
HWF_0016,Pharmaceutical Technicians and Assistants  (number),numeric,AMR,Americas,Country,URY,Uruguay,Year,2021,true,,,,,,,,,,,,,10702,,,,,,10 702,,,EN,2023-01-11T22:00:00.000Z
HWF_0016,Pharmaceutical Technicians and Assistants  (number),numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2021,true,,,,,,,,,,,,,15500,,,,,,15 500,,,EN,2023-01-11T22:00:00.000Z
HWF_0016,Pharmaceutical Technicians and Assistants  (number),numeric,AFR,Africa,Country,ZMB,Zambia,Year,2021,true,,,,,,,,,,,,,1944,,,,,,1944,,,EN,2023-01-11T22:00:00.000Z
HWF_0016,Pharmaceutical Technicians and Assistants  (number),numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2021,true,,,,,,,,,,,,,202,,,,,,202,,,EN,2023-01-11T22:00:00.000Z
HWF_0016,Pharmaceutical Technicians and Assistants  (number),numeric,EUR,Europe,Country,MNE,Montenegro,Year,2021,true,,,,,,,,,,,,,244,,,,,,244,,,EN,2023-01-11T22:00:00.000Z
HWF_0016,Pharmaceutical Technicians and Assistants  (number),numeric,AFR,Africa,Country,TCD,Chad,Year,2021,true,,,,,,,,,,,,,277,,,,,,277,,,EN,2023-01-11T22:00:00.000Z
HWF_0016,Pharmaceutical Technicians and Assistants  (number),numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2021,true,,,,,,,,,,,,,3039,,,,,,3039,,,EN,2023-01-11T22:00:00.000Z
HWF_0016,Pharmaceutical Technicians and Assistants  (number),numeric,AFR,Africa,Country,CMR,Cameroon,Year,2021,true,,,,,,,,,,,,,324,,,,,,324,,,EN,2023-01-11T22:00:00.000Z
HWF_0016,Pharmaceutical Technicians and Assistants  (number),numeric,AFR,Africa,Country,TGO,Togo,Year,2021,true,,,,,,,,,,,,,44,,,,,,44,,,EN,2023-01-11T22:00:00.000Z
HWF_0016,Pharmaceutical Technicians and Assistants  (number),numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2021,true,,,,,,,,,,,,,44021,,,,,,44 021,,,EN,2023-01-11T22:00:00.000Z
HWF_0016,Pharmaceutical Technicians and Assistants  (number),numeric,AMR,Americas,Country,PRY,Paraguay,Year,2021,true,,,,,,,,,,,,,5153,,,,,,5153,,,EN,2023-01-11T22:00:00.000Z
HWF_0016,Pharmaceutical Technicians and Assistants  (number),numeric,AMR,Americas,Country,PER,Peru,Year,2021,true,,,,,,,,,,,,,5559,,,,,,5559,,Value obtained from Professionally Active,EN,2023-01-11T22:00:00.000Z
HWF_0016,Pharmaceutical Technicians and Assistants  (number),numeric,AFR,Africa,Country,BDI,Burundi,Year,2021,true,,,,,,,,,,,,,6,,,,,,6,,,EN,2023-01-11T22:00:00.000Z
HWF_0016,Pharmaceutical Technicians and Assistants  (number),numeric,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2021,true,,,,,,,,,,,,,60,,,,,,60,,,EN,2023-01-11T22:00:00.000Z
HWF_0016,Pharmaceutical Technicians and Assistants  (number),numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2021,true,,,,,,,,,,,,,76,,,,,,76,,,EN,2023-01-11T22:00:00.000Z
HWF_0016,Pharmaceutical Technicians and Assistants  (number),numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2021,true,,,,,,,,,,,,,8355,,,,,,8355,,Value obtained from Licensed to Practice,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,GMB,Gambia,Year,2020,true,,,,,,,,,,,,,0.019,,,,,,0.019,,,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,MWI,Malawi,Year,2020,true,,,,,,,,,,,,,0.078,,,,,,0.078,,,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,SEN,Senegal,Year,2020,true,,,,,,,,,,,,,0.13,,,,,,0.13,,,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,WPR,Western Pacific,Country,WSM,Samoa,Year,2020,true,,,,,,,,,,,,,0.23,,,,,,0.23,,,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,SLE,Sierra Leone,Year,2020,true,,,,,,,,,,,,,0.23,,,,,,0.23,,,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,UGA,Uganda,Year,2020,true,,,,,,,,,,,,,0.39,,,,,,0.39,,National Reporting Instrument (NRI)- 2021 Code reporting,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,EUR,Europe,Country,RUS,Russian Federation,Year,2020,true,,,,,,,,,,,,,0.4,,,,,,0.4,,National Reporting Instrument (NRI)- 2021 Code reporting,EN,2023-01-11T22:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,SWZ,Eswatini,Year,2020,true,,,,,,,,,,,,,0.41,,,,,,0.41,,,EN,2023-01-11T22:00:00.000Z
